Entity,Continent,Year,"Combined total net enrolment rate, primary, both sexes"
United States,North America,2022,96.01779
Bermuda,North America,2012,99.3227
Canada,North America,2022,96.01157
Guatemala,North America,2023,92.54322
Honduras,North America,2023,79.34094
Jamaica,North America,2023,84.32239
Mexico,North America,2022,99.65808
Nicaragua,North America,2023,90.25169
Panama,North America,2023,90.25064
Puerto Rico,North America,2023,82.0655
Austria,Europe,2022,98.32408
Belgium,Europe,2022,98.77575
Czechia,Europe,2022,99.91431
Denmark,Europe,2022,99.4135
Finland,Europe,2022,98.02368
Greece,Europe,2022,99.99782
Netherlands,Europe,2022,99.59434
Ireland,Europe,2022,98.89046
Poland,Europe,2022,99.98123
Norway,Europe,2022,99.05005
Afghanistan,Asia,1993,33.5473
Bangladesh,Asia,2023,94.74091
Philippines,Asia,2023,90.43527
India,Asia,2023,98.53031
Japan,Asia,2022,99.90328
China,Asia,1997,93.33166
Malaysia,Asia,2023,98.14684
Singapore,Asia,2022,99.0694
Thailand,Asia,2023,98.40171
Vietnam,Asia,2021,98.06202
Algeria,Africa,2023,99.02429
Botswana,Africa,2022,89.92966
Egypt,Africa,2021,99.54397
Ghana,Africa,2022,99.25412
Kenya,Africa,2012,83.38039
Morocco,Africa,2023,99.28526
Nigeria,Africa,2019,93.06817
Senegal,Africa,2023,73.40573
Tanzania,Africa,2023,83.61782
Uganda,Africa,2017,88.45996
Argentina,South America,2022,99.25412
Bolivia,South America,2023,95.84252
Chile,South America,2022,98.70712
Ecuador,South America,2023,95.28481
Colombia,South America,2022,92.67547
Paraguay,South America,2023,87.72887
Peru,South America,2023,99.74164
Suriname,South America,2023,51.05284
Uruguay,South America,2022,99.96397
Venezuela,South America,2023,99.45229
Australia,Oceania,2022,99.70359
Fiji,Oceania,2023,98.11677
Kiribati,Oceania,2023,87.75403
Marshall Islands,Oceania,2022,97.5513
Nauru,Oceania,2023,96.25247
Papua New Guinea,Oceania,2018,98.69444
Samoa,Oceania,2023,97.01929
Tonga,Oceania,2023,99.4869
Tuvalu,Oceania,2023,99.02429
Vanuatu,Oceania,2023,91.41915
